clusterId,clusterKind,riskScore,declarationCount,domains,canonicalDtoCandidate,signatureHash,signaturePreview,declarations
near-0023,near-shape,30,2,feature:filemaker|shared:contracts,,2e385e35e799,prop:combinator:OrganizationAdvancedFilterCombinator; prop:id:string; prop:not:boolean; prop:rules:Array<OrganizationAdvancedFilterCondition | OrganizationAdvancedFilterGroup>; prop:type:'group',src/features/filemaker/filemaker-organization-advanced-filters.ts:undefined:OrganizationAdvancedFilterGroup|src/shared/contracts/products/filters.ts:undefined:ProductAdvancedFilterGroup
exact-0085,exact-shape,28,2,shared:contracts,,8532d729d36c,z.infer<typeof productListingSchema>,src/shared/contracts/integrations/listings.ts:undefined:ProductListing|src/shared/contracts/playwright-listing-runtime.ts:undefined:ProductListing
exact-0086,exact-shape,28,2,shared:contracts,,b2d356ef364c,z.infer<typeof playwrightRelistBrowserModeSchema>,src/shared/contracts/integrations/listings.ts:undefined:PlaywrightRelistBrowserMode|src/shared/contracts/playwright-listing-runtime.ts:undefined:PlaywrightRelistBrowserMode
near-0006,near-shape,19,2,app|shared:contracts,,b31cde2a6238,prop:debounceMs:number; prop:flags:string | null; prop:index:number; prop:length:number; prop:matchText:string; prop:message:string; prop:patternId:string; prop:postAcceptBehavior:ProductValidationPostAcceptBehavior,src/app/api/v2/products/validator-runtime/evaluate/handler.helpers.ts:undefined:RuntimeFieldIssue|src/shared/contracts/products/validation.ts:undefined:FieldValidatorIssue
exact-0083,exact-shape,16,2,shared:contracts,,2e9b8e2e5c0a,z.infer<typeof productListingExportEventSchema>,src/shared/contracts/integrations/listings.ts:undefined:ProductListingExportEvent|src/shared/contracts/playwright-listing-runtime.ts:undefined:ProductListingExportEvent
exact-0012,exact-shape,15,3,feature:filemaker|shared:contracts,,b9bf368ba869,'all' | 'root' | 'child',src/features/filemaker/pages/AdminFilemakerOrganizationsPage.types.ts:undefined:OrganizationParentFilter|src/features/filemaker/server/filemaker-organizations-list-options.ts:undefined:FilemakerOrganizationParentFilter|src/shared/contracts/case-resolver/base.ts:undefined:CaseHierarchyFilter
exact-0020,exact-shape,15,3,shared:contracts,,63eda5f12b48,SimpleDeleteResponse,src/shared/contracts/agent-teaching.ts:undefined:AgentTeachingAgentDeleteResponse|src/shared/contracts/jobs.ts:undefined:ProductAiJobDeleteResponse|src/shared/contracts/ui/api.ts:undefined:DeleteResponse
near-0005,near-shape,15,3,feature:filemaker|shared:contracts,,a9816035fe10,prop:run:FilemakerJobApplicationApplyRun | null,src/features/filemaker/filemaker-job-application.types.ts:undefined:FilemakerJobApplicationApplyRunResponse|src/features/filemaker/filemaker-job-board-scrape-runtime-contracts.ts:undefined:FilemakerJobBoardScrapeRuntimeStartResponse|src/shared/contracts/image-studio/run.ts:undefined:ImageStudioRunDetailResponse
exact-0024,exact-shape,15,2,app|shared:contracts,,b1ffeb6073a5,'none' | 'database_query' | 'ai_prompt',src/app/api/v2/products/validator-patterns/handler.helpers.ts:undefined:ValidatorPatternRuntimeType|src/shared/contracts/products/validation.ts:undefined:ProductValidationRuntimeType
exact-0087,exact-shape,15,2,shared:contracts,,0ae9e1a310bf,z.infer<typeof browserListingResultSchema>,src/shared/contracts/integrations/listings.ts:undefined:BrowserListingResultDto|src/shared/contracts/playwright-listing-runtime.ts:undefined:BrowserListingResultDto
exact-0027,exact-shape,14,2,app|shared:contracts,,aee575517e93,| 'equals' | 'not_equals' | 'contains' | 'starts_with' | 'ends_with' | 'regex' | 'gt' | 'gte' | 'lt' | 'lte' | 'is_empty' | 'is_not_empty',src/app/api/v2/products/validator-patterns/handler.helpers.ts:undefined:ValidatorPatternLaunchOperator|src/shared/contracts/products/validation.ts:undefined:ProductValidationLaunchOperator
near-0012,near-shape,14,2,feature:filemaker|shared:contracts,,e8dd58d80d68,prop:entity:CvBlockEntity; prop:id:MasterTreeId; prop:nodeId:MasterTreeId,src/features/filemaker/components/cv-builder/cv-master-tree-adapter.ts:undefined:CvMasterNodeIdentity|src/shared/contracts/master-folder-tree.ts:undefined:DecodedMasterTreeNode
exact-0026,exact-shape,12,2,app|shared:contracts,,5422ac2c10e2,| 'current_field' | 'form_field' | 'latest_product_field',src/app/api/v2/products/validator-patterns/handler.helpers.ts:undefined:ValidatorPatternLaunchSourceMode|src/shared/contracts/products/validation.ts:undefined:ProductValidationLaunchSourceMode
