rank,score,depth,root_component,root_file,sink_component,sink_file,root_fanout,distinct_features,prop_path,component_path
1,83,3,KangurLaunchableGameInstanceRuntime,src/features/kangur/ui/components/KangurLaunchableGameInstanceRuntime.tsx,KangurLessonActivityRuntimeProvider,src/features/kangur/ui/components/lesson-runtime/KangurLessonActivityBlock.tsx,1,1,onFinish -> onFinish -> onFinish,KangurLaunchableGameInstanceRuntime(src/features/kangur/ui/components/KangurLaunchableGameInstanceRuntime.tsx) -> KangurLessonActivityInstanceRuntime(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntimeProvider(src/features/kangur/ui/components/lesson-runtime/KangurLessonActivityBlock.tsx)
2,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,CalendarInteractiveGame,src/features/kangur/ui/components/CalendarInteractiveGame.tsx,1,1,rendererProps -> rendererProps -> calendarSection,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> CalendarInteractiveGame(src/features/kangur/ui/components/CalendarInteractiveGame.tsx)
3,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,ClockTrainingGame,src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx,1,1,rendererProps -> rendererProps -> hideModeSwitch,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> ClockTrainingGame(src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx)
4,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,ClockTrainingGame,src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx,1,1,rendererProps -> rendererProps -> initialMode,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> ClockTrainingGame(src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx)
5,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,ClockTrainingGame,src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx,1,1,rendererProps -> rendererProps -> section,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> ClockTrainingGame(src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx)
6,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,ClockTrainingGame,src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx,1,1,rendererProps -> rendererProps -> showHourHand,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> ClockTrainingGame(src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx)
7,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,ClockTrainingGame,src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx,1,1,rendererProps -> rendererProps -> showMinuteHand,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> ClockTrainingGame(src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx)
8,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,ClockTrainingGame,src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx,1,1,rendererProps -> rendererProps -> showTaskTitle,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> ClockTrainingGame(src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx)
9,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,ClockTrainingGame,src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx,1,1,rendererProps -> rendererProps -> showTimeDisplay,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> ClockTrainingGame(src/features/kangur/ui/components/clock-training/ClockTrainingGame.tsx)
10,83,3,KangurLessonActivityInstanceRuntimeView,src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx,GeometryDrawingGame,src/features/kangur/ui/components/GeometryDrawingGame.tsx,1,1,rendererProps -> rendererProps -> rendererProps,KangurLessonActivityInstanceRuntimeView(src/features/kangur/ui/components/KangurLessonActivityInstanceRuntime.tsx) -> KangurLessonActivityRuntime(src/features/kangur/ui/components/KangurLessonActivityRuntime.tsx) -> GeometryDrawingGame(src/features/kangur/ui/components/GeometryDrawingGame.tsx)
