cluster_id,kind,risk_score,declarations,domains,usage,shape_hash,preview
"exact-0001","exact-shape","68","21","feature:filemaker","3","1d50954fd148","Record<string, string>"
"exact-0002","exact-shape","37","7","feature:filemaker|feature:playwright|feature:products","10","28d3a63f66c0","prop:label:string; prop:value:string"
"near-0001","near-shape","37","7","feature:filemaker|feature:playwright|feature:products","10","e3e3661a3ec3","prop:label:string; prop:value:FilemakerLexiconTermCategory"
"near-0002","near-shape","34","4","feature:filemaker","28","d09f6439366f","prop:background:string; prop:children:CvBlock[]; prop:kind:'section'; prop:label:string; prop:paddingX:number; prop:paddingY:number"
"exact-0003","exact-shape","31","7","feature:filemaker","8","b51ee99e9b16","'event' | 'organization' | 'person'"
"near-0004","near-shape","31","3","feature:filemaker","20","652f37d6fc15","prop:children:CvLeafBlock[]; prop:gap:number; prop:kind:'stack'; prop:label:string"
"near-0023","near-shape","30","2","feature:filemaker|shared:contracts","20","2e385e35e799","prop:combinator:OrganizationAdvancedFilterCombinator; prop:id:string; prop:not:boolean; prop:rules:Array<OrganizationAdvancedFilterCondition | OrganizationAdvancedFilterGroup>; prop:type:'group'"
"exact-0064","exact-shape","28","2","feature:kangur","22","23ee84dd71d8","ReturnType<typeof useTranslations>"
"exact-0085","exact-shape","28","2","shared:contracts","25","8532d729d36c","z.infer<typeof productListingSchema>"
"exact-0086","exact-shape","28","2","shared:contracts","20","b2d356ef364c","z.infer<typeof playwrightRelistBrowserModeSchema>"
"exact-0056","exact-shape","24","2","feature:filemaker","16","34aef410cdcd","FilemakerPerson & { checked1?: boolean; checked2?: boolean; dateOfBirth?: string; fullName: string; legacyDefaultAddressUuid?: string; legacyDefaultBankAccountU"
"exact-0004","exact-shape","23","6","feature:filemaker","3","0d1d7339d53d","'all' | 'with_address' | 'without_address'"
"near-0003","near-shape","20","3","feature:filemaker","9","9f5695028159","prop:items:string[]; prop:kind:'skills'; prop:label:string"
"exact-0077","exact-shape","19","2","feature:products","11","4c6d320335b5","prop:artifactKey:string | null; prop:asin:string | null; prop:heroImageAlt:string | null; prop:heroImageArtifactName:string | null; prop:heroImageUrl:string | null; prop:id:string | null; prop:marketplaceDomain:string | null; prop:matchedImageId:string | null"
"near-0006","near-shape","19","2","app|shared:contracts","9","b31cde2a6238","prop:debounceMs:number; prop:flags:string | null; prop:index:number; prop:length:number; prop:matchText:string; prop:message:string; prop:patternId:string; prop:postAcceptBehavior:ProductValidationPostAcceptBehavior"
"exact-0008","exact-shape","18","3","feature:ai|feature:products","5","e73ebbbde89a","Toast"
"exact-0009","exact-shape","18","3","feature:filemaker","7","0052b09a645c","prop:label?:string; prop:legacyValueUuid:string; prop:level:number; prop:parentId?:string | null; prop:valueId?:string"
"exact-0015","exact-shape","18","3","feature:internationalization|feature:notesapp|feature:products","3","29c2808dc196","prop:confirmText?:string; prop:isDangerous?:boolean; prop:message:string; prop:onConfirm:() => void | Promise<void>; prop:title:string"
"near-0011","near-shape","18","2","feature:filemaker|shared","8","65ed7154815f","prop:kind:'summary'; prop:text:string"
"exact-0010","exact-shape","17","3","feature:filemaker","6","e0d5ae24e960","prop:applicationEmailVersionId:string | null; prop:coverLetterVersionId:string | null; prop:tailoredCvVersionId:string | null"
"exact-0071","exact-shape","17","2","feature:playwright|shared","7","1742801c1ba3","prop:id:string; prop:name:string"
"near-0007","near-shape","17","2","feature:ai","9","745c6ac7d97e","prop:dependsOn?:number[] | string[] | null | undefined; prop:expectedObservation?:string | null | undefined; prop:goalId?:string | null | undefined; prop:phase?:string | null | undefined; prop:priority?:number | null | undefined; prop:subgoalId?:string | null | undefined; prop:successCriteria?:string | null | undefined; prop:title?:string"
"near-0009","near-shape","17","2","feature:ai|feature:products","7","c7473f6d7ea7","prop:kind?:string | null; prop:mimeType?:string | null; prop:name:string; prop:path:string"
"exact-0006","exact-shape","16","4","feature:filemaker","2","f980f3671154","'all' | 'with_bank' | 'without_bank'"
"exact-0016","exact-shape","16","3","feature:playwright|feature:products","3","b9d00c941d92","Record<string, unknown>"
"exact-0019","exact-shape","16","3","feature:products","5","f1a1b38af30c","| typeof AMAZON_REVERSE_IMAGE_SCAN_RUNTIME_KEY | typeof AMAZON_GOOGLE_LENS_CANDIDATE_SEARCH_RUNTIME_KEY | typeof AMAZON_CANDIDATE_EXTRACTION_RUNTIME_KEY"
"exact-0083","exact-shape","16","2","shared:contracts","8","2e9b8e2e5c0a","z.infer<typeof productListingExportEventSchema>"
"near-0018","near-shape","16","2","feature:filemaker","8","05bf7222959f","prop:company?:string | null; prop:experienceId?:string | null; prop:experienceKey:string; prop:experienceTitle?:string | null; prop:highlights:string[]; prop:role?:string | null"
"near-0024","near-shape","16","2","feature:filemaker","8","78d2640a58e9","prop:createdAt?:string; prop:createdBy?:string; prop:id:string; prop:legacyOrganizationUuid:string; prop:legacyUuid:string; prop:legacyValueUuids:string[]; prop:organizationId?:string; prop:organizationName?:string"
"exact-0005","exact-shape","15","4","feature:filemaker","1","fc3324104d91","prop:id:string; prop:legacyOrganizationUuid:string; prop:organizationId?:string; prop:organizationName?:string"
"exact-0007","exact-shape","15","4","feature:playwright","1","577f56c6dcef","prop:context:string; prop:done:boolean; prop:reasoning?:string | null | undefined"
"exact-0012","exact-shape","15","3","feature:filemaker|shared:contracts","2","b9bf368ba869","'all' | 'root' | 'child'"
"exact-0020","exact-shape","15","3","shared:contracts","4","63eda5f12b48","SimpleDeleteResponse"
"near-0005","near-shape","15","3","feature:filemaker|shared:contracts","2","a9816035fe10","prop:run:FilemakerJobApplicationApplyRun | null"
"exact-0024","exact-shape","15","2","app|shared:contracts","5","b1ffeb6073a5","'none' | 'database_query' | 'ai_prompt'"
"exact-0061","exact-shape","15","2","feature:integrations|shared","5","e6ffbf4bbbcb","'auto' | 'brave' | 'chrome' | 'chromium'"
"exact-0080","exact-shape","15","2","feature:products","7","70ef38371326","prop:body:string; prop:excerpt:string; prop:href:string; prop:id:string; prop:imageUrl:string; prop:tag:string; prop:title:string; prop:visible:boolean"
"exact-0087","exact-shape","15","2","shared:contracts","7","0ae9e1a310bf","z.infer<typeof browserListingResultSchema>"
"exact-0014","exact-shape","14","3","feature:filemaker","3","eb085866c969","| 'all' | 'with_organizations' | 'without_organizations'"
"exact-0027","exact-shape","14","2","app|shared:contracts","4","aee575517e93","| 'equals' | 'not_equals' | 'contains' | 'starts_with' | 'ends_with' | 'regex' | 'gt' | 'gte' | 'lt' | 'lte' | 'is_empty' | 'is_not_empty'"
"exact-0050","exact-shape","14","2","feature:filemaker","6","2db2c6b5bc1e","FilemakerEvent & { checked1?: boolean; checked2?: boolean; cooperationStatus?: string; currentDay?: string; currentWeekNumber?: number; discontinued?: boolean; "
"exact-0053","exact-shape","14","2","feature:filemaker|feature:products","4","3e294ae9e429","Record<string, boolean>"
"near-0012","near-shape","14","2","feature:filemaker|shared:contracts","4","e8dd58d80d68","prop:entity:CvBlockEntity; prop:id:MasterTreeId; prop:nodeId:MasterTreeId"
"near-0014","near-shape","14","2","feature:filemaker|feature:products","4","d8eeecee1780","prop:fieldValueOptions:OrganizationAdvancedFilterBuilderFieldValueOptions; prop:handleDuplicateRule:( ruleId: string, parentGroup: OrganizationAdvancedFilterGroup, updateParent: (next: OrganizationAdvancedFilterGroup) => void ) => void; prop:handleMoveRule:( ruleId: string, direction: -1 | 1, parentGroup: OrganizationAdvancedFilterGroup, updateParent: (next: OrganizationAdvancedFilterGroup) => void ) => void; prop:handleRemoveRule:( ruleId: string, parentGroup: OrganizationAdvancedFilterGroup, updateParent: (next: OrganizationAdvancedFilterGroup) => void ) => void; prop:handleRuleChange:( ruleId: string, nextRule: OrganizationAdvancedFilterRule, parentGroup: OrganizationAdvancedFilterGroup, updateParent: (next: OrganizationAdvancedFilterGroup) => void ) => void; prop:onChange:(group: OrganizationAdvancedFilterGroup) => void"
"near-0020","near-shape","14","2","feature:filemaker","6","0a3b27ef1906","prop:coreStrengths:string[]; prop:experienceHighlightPatches:FilemakerCvExperienceHighlightPatch[]; prop:professionalSummary:string | null; prop:selectedTechnicalEnvironment:string[]"
"near-0035","near-shape","14","2","feature:integrations|feature:products","4","50d4f75e2a96","prop:code:string; prop:discountType:EcommerceDiscountCouponType; prop:enabled:boolean; prop:endsAt:string | null; prop:minOrderAmount:number | null; prop:singleUse:boolean; prop:startsAt:string | null; prop:usageLimit:number | null"
"near-0045","near-shape","14","2","feature:products","6","62e69a7de88b","prop:fallbackCount:number; prop:href:string; prop:id:string; prop:imageUrl:string; prop:label:string; prop:selectorType:CollectionCardSelectorType; prop:selectorValues:string[]; prop:sublabel:string"
"exact-0045","exact-shape","13","2","feature:filemaker|feature:products","3","fd33e01d2292","ReturnType<typeof useToast>['toast']"
"exact-0072","exact-shape","13","2","feature:products|shared","3","b34d32bf9f47","prop:code:string; prop:name:string"
