
/Users/michalmatynia/Desktop/NPM/2026/Gemini new Pull/geminitestapp/src/features/case-resolver/components/CaseResolverPageView.tsx
   437:9  warning  'resolvedPendingPromptApplyTargetFileId' is assigned a value but never used. Allowed unused vars must match /^_/u  @typescript-eslint/no-unused-vars
  1604:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1605:1  error    Expected indentation of 22 spaces but found 16                                                                     indent
  1606:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1607:1  error    Expected indentation of 20 spaces but found 17                                                                     indent
  1608:1  error    Expected indentation of 22 spaces but found 14                                                                     indent
  1609:1  error    Expected indentation of 24 spaces but found 18                                                                     indent
  1610:1  error    Expected indentation of 24 spaces but found 16                                                                     indent
  1611:1  error    Expected indentation of 20 spaces but found 13                                                                     indent
  1612:1  error    Expected indentation of 20 spaces but found 18                                                                     indent
  1613:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1614:1  error    Expected indentation of 18 spaces but found 10                                                                     indent
  1615:1  error    Expected indentation of 16 spaces but found 13                                                                     indent
  1617:1  error    Expected indentation of 18 spaces but found 12                                                                     indent
  1618:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1619:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1620:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1621:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1622:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1623:1  error    Expected indentation of 22 spaces but found 16                                                                     indent
  1624:1  error    Expected indentation of 22 spaces but found 7                                                                      indent
  1625:1  error    Expected indentation of 20 spaces but found 8                                                                      indent
  1626:1  error    Expected indentation of 18 spaces but found 0                                                                      indent
  1628:1  error    Expected indentation of 22 spaces but found 20                                                                     indent
  1629:1  error    Expected indentation of 22 spaces but found 0                                                                      indent
  1631:1  error    Expected indentation of 16 spaces but found 11                                                                     indent
  1633:1  error    Expected indentation of 18 spaces but found 14                                                                     indent
  1634:1  error    Expected indentation of 20 spaces but found 12                                                                     indent
  1635:1  error    Expected indentation of 20 spaces but found 10                                                                     indent
  1636:1  error    Expected indentation of 20 spaces but found 18                                                                     indent
  1638:1  error    Expected indentation of 20 spaces but found 17                                                                     indent
  1639:1  error    Expected indentation of 22 spaces but found 0                                                                      indent
  1640:1  error    Expected indentation of 20 spaces but found 16                                                                     indent
  1641:1  error    Expected indentation of 18 spaces but found 4                                                                      indent
  1644:1  error    Expected indentation of 16 spaces but found 15                                                                     indent
  1648:1  error    Expected indentation of 16 spaces but found 10                                                                     indent
  1650:1  error    Expected indentation of 20 spaces but found 1                                                                      indent
  1651:1  error    Expected indentation of 20 spaces but found 9                                                                      indent
  1653:1  error    Expected indentation of 20 spaces but found 18                                                                     indent
  1654:1  error    Expected indentation of 22 spaces but found 13                                                                     indent
  1655:1  error    Expected indentation of 20 spaces but found 7                                                                      indent
  1656:1  error    Expected indentation of 18 spaces but found 1                                                                      indent
  1660:1  error    Expected indentation of 14 spaces but found 3                                                                      indent
  1663:1  error    Expected indentation of 16 spaces but found 7                                                                      indent
  1665:1  error    Expected indentation of 20 spaces but found 17                                                                     indent
  1666:1  error    Expected indentation of 22 spaces but found 2                                                                      indent
  1667:1  error    Expected indentation of 22 spaces but found 13                                                                     indent
  1668:1  error    Expected indentation of 22 spaces but found 17                                                                     indent
  1669:1  error    Expected indentation of 22 spaces but found 17                                                                     indent
  1670:1  error    Expected indentation of 22 spaces but found 0                                                                      indent
  1671:1  error    Expected indentation of 22 spaces but found 19                                                                     indent
  1672:1  error    Expected indentation of 22 spaces but found 15                                                                     indent
  1673:1  error    Expected indentation of 22 spaces but found 5                                                                      indent
  1674:1  error    Expected indentation of 20 spaces but found 15                                                                     indent
  1675:1  error    Expected indentation of 18 spaces but found 0                                                                      indent
  1676:1  error    Expected indentation of 20 spaces but found 0                                                                      indent
  1677:1  error    Expected indentation of 22 spaces but found 19                                                                     indent
